english,french,german,dutch,spanish,walloon,korean,chinese
Commission,Commission,Kommission,Commissie,Comisión,,수수료 / Susulyo,委员会 / Wěiyuánhuì
Fish,Poisson,Fisch,Vis,Pescado,Pèhî,생선 / Saengseon,鱼 / Yú
College,Université,Uni,Middelbare school,Colega,,대학 / Daehag,大学 / Dàxué
Oil,Huile,Öl,Olie-,Petróleo,Ôle,기름 / Gileum,油 / Yóu
Doctor,Médecin,Arzt,Arts,Doctor,Docteûr,박사님 / Bagsanim,医生 / Yīshēng
Opportunity,Occasion,Gelegenheit,Mogelijkheid,Oportunidad,Ocåzion,기회 / Gihoe,机会 / Jīhuì
Film,Film,Film,Film,Película,Toûrniker,필름 / Pilleum,电影 / Diànyǐng
Conference,Conférence,Konferenz,Conferentie,Conferencia,,회의 / Hoeui,会议 / Huìyì
Operation,Opération,Betrieb,Operatie,Operación,Opèråchon,작업 / Jag-eob,手术 / Shǒushù
Application,Application,Anwendung,Sollicitatie,Solicitud,,애플리케이션 / Aepeullikeisyeon,应用 / Yìngyòng
Press,Presse,Drücken sie,Druk op,Presionar,,누르다 / Nuleuda,按 / Àn
Extent,Étendue,Ausmaß,Omvang,Medida,,정도 / Jeongdo,程度 / Chéngdù
Addition,Addition,Zusatz,Toevoeging,Suma,,덧셈 / Deos-sem,添加 / Tiānjiā
Station,Station,Bahnhof,Station,Estación,Gåre,역 / Yeog,车站 / Chēzhàn
Window,Fenêtre,Fenster,Raam,Ventana,Fignèsse,창문 / Changmun,窗户 / Chuānghù
Shop,Magasin,Geschäft,Winkel,Tienda,,가게 / Gage,店铺 / Diànpù
Access,Accéder,Zugriff,Toegang,Acceso,,접속하다 / Jeobsoghada,使用权 / Shǐyòng quán
Region,Région,Region,Regio,Región,Payis,지역 / Jiyeog,地区 / Dìqū
Doubt,Doute,Zweifel,Twijfel,Duda,Doter,의심 / Uisim,怀疑 / Huáiyí
Majority,Majorité,Mehrheitlich,Meerderheid,Mayoria,,다수 / Dasu,多数 / Duōshù
Degree,Diplôme,Grad,Rang,Grado,,도 / Do,程度 / Chéngdù
Television,Télévision,Fernsehen,Televisie,Televisión,Télévûzion,텔레비전 / Tellebijeon,电视 / Diànshì
Blood,Sang,Blut,Bloed,Sangre,Song',피 / Pi,血液 / Xiěyè
Statement,Déclaration,Erklärung,Uitspraak,Declaración,,성명 / Seongmyeong,陈述 / Chénshù
Sound,Son,Klang,Geluid,Sonar,,소리 / Soli,声音 / Shēngyīn
Election,Élection,Wahl,Verkiezing,Elección,Chwès,선거 / Seongeo,选举 / Xuǎnjǔ
Parliament,Parlement,Parlament,Parlement,Parlamento,,의회 / Uihoe,议会 / Yìhuì
Site,Site,Seite? ˅,Site,Sitio,,대지 / Daeji,地点 / Dìdiǎn
Mark,Marque,Kennzeichen,Markering,Marca,,표시 / Pyosi,标记 / Biāojì
Importance,Importance,Bedeutung,Belang,Importancia,Importance,중요성 / Jung-yoseong,重要性 / Zhòngyào xìng
Title,Titre,Titel,Titel,Título,,제목 / Jemog,标题 / Biāotí
Species,Espèces,Spezies,Soort,Especies,,종 / Jong,物种 / Wùzhǒng
Increase,Augmenter,Zunahme,Toenemen,Incrementar,,증가하다 / Jeung-gahada,增加 / Zēngjiā
Return,Retourner,Rückkehr,Opbrengst,Devolver,Rinde,반품 / Banpum,返回 / Fǎnhuí
Concern,Préoccuper,Anliegen,Zorg,Inquietud,Importance,우려 / Ulyeo,忧虑 / Yōulǜ
Public,Publique,Öffentlich,Openbaar,Público,,공공의 / Gong-gong-ui,上市 / Shàngshì
Competition,Concours,Wettbewerb,Concurrentie,Competencia,Concoûrs,경쟁 / Gyeongjaeng,竞赛 / Jìngsài
Software,Logiciel,Software,Software,Software,,소프트웨어 / Sopeuteuweeo,软件 / Ruǎnjiàn
Glass,Verre,Glas,Glas,Copa,Veûle,유리 / Yuli,玻璃 / Bōlí
Lady,Demoiselle,Dame,Dame,Señora,Dame,숙녀 / Sugnyeo,女士 / Nǚshì
Answer,Répondre,Antworten,Antwoord,Responder,Rèsponde,답변 / Dabbyeon,回答 / Huídá
Earth,Terre,Erde,Aarde,Tierra,Têre,지구 / Jigu,地球 / Dìqiú
Daughter,Fille,Tochter,Dochter,Hija,Fèye,딸 / Ttal,女儿 / Nǚ'ér
Purpose,But,Zweck,Doel,Objetivo,Dèssin,목적 / Mogjeog,目的 / Mùdì
Responsibility,Responsabilité,Verantwortung,Verantwoordelijkheid,Responsabilidad,,책임 / Chaeg-im,责任 / Zérèn
Leader,Dirigeant,Führer,Leider,Líder,,지도자 / Jidoja,领导者 / Lǐngdǎo zhě
River,Fleuve,Fluss,Rivier,Río,Scole,강 / Gang,河 / Hé
Eye,Œil,Auge,Oog,Ojo,,눈 / Nun,眼睛 / Yǎnjīng
Ability,Capacité,Fähigkeit,Vermogen,Habilidad,,능력 / Neunglyeog,能力 / Nénglì
Appeal,Faire appel,Appellieren,Hoger beroep,Apelación,,항소 / Hangso,上诉 / Shàngsù
Opposition,Opposition,Opposition,Oppositie,Oposición,,반대 / Bandae,反对 / Fǎnduì
Campaign,Campagne,Kampagne,Campagne,Campaña,Campagne,운동 / Undong,活动 / Huódòng
Respect,Respect,Respekt,Respect,Respeto,,존경 / Jongyeong,尊重 / Zūnzhòng
Task,Tâche,Aufgabe,Taak,Tarea,Deûr,직무 / Jigmu,任务 / Rènwù
Instance,Exemple,Beispiel,Voorbeeld,Instancia,Ègzimpe,사례 / Salye,实例 / Shílì
Sale,Vendre,Verkauf,Uitverkoop,Rebaja,Vinte,판매 / Panmae,销售 / Xiāoshòu
Whole,Entier,Ganz,Geheel,Todo,,전부의 / Jeonbuui,所有的 / Suǒyǒu de
Officer,Officier,Offizier,Officier,Oficial,,장교 / Jang-gyo,官 / Guān
Method,Méthode,Methode,Methode,Método,,방법 / Bangbeob,方法 / Fāngfǎ
Division,Division,Aufteilung,Divisie,División,,분할 / Bunhal,分配 / Fēnpèi
Source,Source,Quelle,Bron,Fuente,Sûr,원천 / Woncheon,来源 / Láiyuán
Piece,Pièce,Stück,Deel,Pedazo,Pårt,조각 / Jogag,片 / Piàn
Pattern,Modèle,Muster,Patroon,Patrón,,무늬 / Munui,图案 / Tú'àn
Lack,Manquer de,Mangel,Gebrek,Carencia,,부족 / Bujog,缺少 / Quēshǎo
Disease,Maladie,Krankheit,Ziekte,Enfermedad,Maladèye,질병 / Jilbyeong,疾病 / Jíbìng
Equipment,Équipement,Ausrüstung,Apparatuur,Equipo,,장비 / Jangbi,设备 / Shèbèi
Surface,Surface,Fläche,Oppervlakte,Superficie,,표면 / Pyomyeon,表面 / Biǎomiàn
Demand,Demande,Nachfrage,Vraag,Pedir,,수요 / Suyo,要求 / Yāoqiú
Post,Publier,Post,Na,Correo,,게시하다 / Gesihada,邮政 / Yóuzhèng
Mouth,Bouche,Mund,Mond,Boca,Boke,입 / Ib,嘴 / Zuǐ
Radio,Radio,Radio,Radio-,Radio,Posse,라디오 / Ladio,收音机 / Shōuyīn jī
Provision,Disposition,Bestimmung,Voorraad,Disposición,,공급 / Gong-geub,条款 / Tiáokuǎn
Attempt,Tenter,Versuch,Poging,Intento,Intrèprinde,시도 / Sido,试图 / Shìtú
Sector,Secteur,Sektor,Sector,Sector,,부문 / Bumun,部门 / Bùmén
Firm,Solidifier,Feste,Firma,Firma,Fèrme,단단한 / Dandanhan,公司 / Gōngsī
Status,Statut,Status,Toestand,Estado,,상태 / Sangtae,地位 / Dìwèi
Peace,Paix,Frieden,Vrede,Paz,Påye,평화 / Pyeonghwa,和平 / Hépíng
Variety,Variété,Vielfalt,Verscheidenheid,Variedad,Sôr,다양성 / Dayangseong,种类 / Zhǒnglèi
Teacher,Prof,Lehrer,Docent,Maestro,Mêsse,선생님 / Seonsaengnim,老师 / Lǎoshī
Show,Afficher,Show,Tonen,Show,,보여주다 / Boyeojuda,显示 / Xiǎnshì
Speaker,Conférencier,Lautsprecher,Spreker,Vocero,,스피커 / Seupikeo,扬声器 / Yángshēngqì
Baby,Bébé,Baby,Baby,Bebé,,아기 / Agi,婴儿 / Yīng'ér
Arm,Bras,Arm,Arm,Brazo,,팔 / Pal,手臂 / Shǒubì
Base,Base,Base,Baseren,Base,,베이스 / Beiseu,根据 / Gēnjù
Miss,Mademoiselle,Vermissen,Missen,Señorita,Måquer,놓치다 / Nohchida,错过 / Cuòguò
Safety,Sécurité,Sicherheit,Veiligheid,La seguridad,,안전 / Anjeon,安全 / Ānquán
Trouble,Difficulté,Problem,Probleem,Problema,,문제 / Munje,麻烦 / Máfan
Culture,Culture,Kultur,Cultuur,Cultura,Cultûre,문화 / Munhwa,文化 / Wénhuà
Direction,Direction,Richtung,Richting,Dirección,,방향 / Banghyang,方向 / Fāngxiàng
Context,Contexte,Kontext,Context,Contexto,,문맥 / Munmaeg,语境 / Yǔ jìng
Character,Personnage,Charakter,Karakter,Personaje,Caractére,캐릭터 / Kaeligteo,特点 / Tèdiǎn
Box,Boîte,Kasten,Doos,Caja,Bwète,상자 / Sangja,盒子 / Hézi
Discussion,Discussion,Diskussion,Discussie,Discusión,,논의 / Non-ui,讨论 / Tǎolùn
Past,Passé,Vergangenheit,Verleden,Pasado,,과거 / Gwageo,过去的 / Guòqù de
Weight,Masse,Last,Gewicht,Peso,Balance,무게 / Muge,重量 / Zhòngliàng
Start,Démarrer,Anfang,Begin,Comienzo,,시작 / Sijag,开始 / Kāishǐ
Brother,Frère,Bruder,Broer,Hermano,Fré,형제 / Hyeongje,兄弟 / Xiōngdì
League,Ligue,Liga,Liga,Liga,,리그 / Ligeu,联盟 / Liánméng
Condition,État,Zustand,Voorwaarde,Condición,,상태 / Sangtae,健康）状况 / Jiànkāng) zhuàngkuàng
Machine,Machine,Maschine,Machine,Máquina,,기계 / Gigye,机器 / Jīqì
Argument,Argument,Streit,Argument,Argumento,,논쟁 / Nonjaeng,争论 / Zhēnglùn
Sex,Sexe,Sex,Seks,Sexo,Sacwè,섹스 / Segseu,性别 / Xìngbié
Budget,Budget,Budget,Begroting,Presupuesto,,예산 / Yesan,预算 / Yùsuàn
English,Anglais,Englisch,Engels,inglés,,영어 / Yeong-eo,英语 / Yīngyǔ
Transport,Transport,Transport,Vervoer-,Transporte,,수송 / Susong,运输 / Yùnshū
Share,Partager,Teilen,Delen,Cuota,Pårtajer,공유하다 / Gong-yuhada,分享 / Fēnxiǎng
Mum,Maman,Mama,Mamma,Mamá,Mére,침묵 / Chimmug,妈妈 / Māmā
Cash,Espèces,Kasse,Contant geld,Dinero en efectivo,,현금 / Hyeongeum,现金 / Xiànjīn
Principle,Principe,Prinzip,Beginsel,Principio,,원칙 / Wonchig,原则 / Yuánzé
Exchange,Échanger,Austausch,Aandelenbeurs,Intercambio,Discandjî,교환 / Gyohwan,交换 / Jiāohuàn
Aid,Aide,Hilfe,Hulp,Ayuda,,지원 / Jiwon,援助 / Yuánzhù
Library,Bibliothèque,Bücherei,Bibliotheek,Biblioteca,Bibiliotéque,도서관 / Doseogwan,图书馆 / Túshū guǎn
Version,Version,Ausführung,Versie,Versión,,버전 / Beojeon,版本 / Bǎnběn
Rule,Règle,Regel,Regel,Regla,,규칙 / Gyuchig,规则 / Guīzé
Tea,Thé,Tee,Thee,Té,Té,차 / Cha,茶 / Chá
Balance,Solde,Balance,Balans,Equilibrio,,균형 / Gyunhyeong,平衡 / Pínghéng
Afternoon,Après-midi,Nachmittag,Namiddag,Tarde,Après-dîner,오후 / Ohu,下午 / Xiàwǔ
Reference,Référence,Hinweis,Verwijzing,Referencia,,참조 / Chamjo,参考 / Cānkǎo
Protection,Protection,Schutz,Bescherming,Proteccion,,보호 / Boho,保护 / Bǎohù
Truth,Vérité,Wahrheit,Waarheid,Verdad,Vèrité,진실 / Jinsil,真相 / Zhēnxiàng
District,District,Kreis,Wijk,Distrito,,구역 / Guyeog,区 / Qū
Turn,Tourner,Wende,Draai,Doblar,Tchèrî k'twért,회전하다 / Hoejeonhada,转动 / Zhuǎndòng
Smith,Forgeron,Schmied,Smid,Herrero,,스미스 / Seumiseu,史密斯 / Shǐmìsī
Review,Revue,Überprüfung,Beoordeling,Revisar,,검토 / Geomto,审查 / Shěnchá
Minute,Minute,Minute,Minuut,Minuto,,분 / Bun,分钟 / Fēnzhōng
Duty,Devoir,Pflicht,Plicht,Deber,Deûr,의무 / Uimu,义务 / Yìwù
Survey,Sondage,Umfrage,Vragenlijst,Encuesta,,서베이 / Seobei,民意调查 / Mínyì diàochá
Presence,Présence,Gegenwart,Aanwezigheid,Presencia,,있음 / Iss-eum,在场 / Zàichǎng
Influence,Influence,Beeinflussen,Invloed,Influencia,,영향 / Yeonghyang,影响 / Yǐngxiǎng
Stone,Calcul,Stein,Steen,Roca,Pîre,결석 / Gyeolseog,结石 / Jiéshí
Dog,Chien,Hund,Hond,Perro,,개 / Gae,狗 / Gǒu
Benefit,Avantage,Nutzen,Voordeel,Beneficio,Avantèdje,혜택 / Hyetaeg,益处 / Yìchu
Collection,Recueil,Sammlung,Verzameling,Recopilación,,수집 / Sujib,收藏 / Shōucáng
Executive,Exécutif,Exekutive,Leidinggevend,Ejecutivo,,경영진 / Gyeong-yeongjin,管理人员 / Guǎn lǐ rényuán
Speech,Discours,Rede,Toespraak,Habla,,연설 / Yeonseol,演讲 / Yǎnjiǎng
Function,Fonction,Funktion,Functie,Función,,기능 / Gineung,功能 / Gōngnéng
Queen,Reine,Königin,Koningin,Reina,Rinne,퀸 / Kwin,女王 / Nǚwáng
Marriage,Mariage,Ehe,Huwelijk,Casamiento,Marièdje,결혼 / Gyeolhon,婚姻 / Hūnyīn
Stock,Stock,Aktie,Voorraad,Valores,,스톡 / Seutog,库存 / Kùcún
Failure,Échec,Fehler,Mislukking,Falla,,실패 / Silpae,失败 / Shībài
Kitchen,Cuisine,Küche,Keuken,Cocina,Couhène,주방 / Jubang,厨房 / Chúfáng
Student,Élève,Schüler,Student,Alumno,Ètudiant,학생 / Hagsaeng,学生 / Xuéshēng
Effort,Effort,Anstrengung,Poging,Esfuerzo,,노력 / Nolyeog,努力 / Nǔlì
Holiday,Vacance,Urlaub,Vakantie,Fiesta,Candjî,휴일 / Hyuil,假期 / Jiàqī
Career,Carrière,Werdegang,Carrière,Carrera,,직업 / Jig-eob,职业 / Zhíyè
Attack,Attaque,Attacke,Aanval,Ataque,Ataker,공격 / Gong-gyeog,攻击 / Gōngjí
Length,Longueur,Länge,Lengte,Largo,,길이 / Gil-i,长度 / Chángdù
Horse,Cheval,Pferd,Paard,Caballo,Dj'vå,말 / Mal,马 / Mǎ
Progress,Progrès,Fortschritt,Voortgang,Progreso,,진전 / Jinjeon,进步 / Jìnbù
Plant,Plante,"Pflanze, anlage",Plant,Planta,,공장 / Gongjang,植物 / Zhíwù
Visit,Visiter,Besuch,Op bezoek komen,Visitar,,방문 / Bangmun,访问 / Fǎngwèn
Relation,Relation,Beziehung,Relatie,Relación,Abôrd,관계 / Gwangye,关系 / Guānxì
Ball,Balle,Ball,Bal,Pelota,,공 / Gong,球 / Qiú
Memory,Mémoire,Erinnerung,Geheugen,Memoria,Mémwére,메모리 / Memoli,记忆 / Jìyì
Bar,Bar,Bar,Bar,Bar,,술집 / Suljib,酒吧 / Jiǔbā
Opinion,Opinion,Meinung,Mening,Opinión,Îdêye,의견 / Uigyeon,观点 / Guāndiǎn
Quarter,Trimestre,Quartal,Kwartaal,Cuarta parte,,4분의 1 / 4bun-ui 1,四分之一 / Sì fēnzhī yī
Impact,Impacter,Einschlag,Gevolg,Impacto,,영향 / Yeonghyang,影响 / Yǐngxiǎng
Scale,Échelle,Skala,Schaal,Escala,Håle,규모 / Gyumo,规模 / Guīmó
Race,Course,Rennen,Ras,Carrera,Coûsse,경주 / Gyeongju,种族 / Zhǒngzú
Image,Image,Bild,Afbeelding,Imagen,Îmådje,영상 / Yeongsang,图片 / Túpiàn
Trust,Confiance,Vertrauen,Vertrouwen,Confianza,,신뢰하다 / Sinloehada,相信 / Xiāngxìn
Justice,Justice,Gerechtigkeit,Gerechtigheid,Justicia,Djustice,정당성 / Jeongdangseong,正义 / Zhèngyì
Edge,Bord,Kante,Kant,Borde,,가장자리 / Gajangjali,边缘 / Biānyuán
Gas,Gaz,Gas,Gas-,Gas,,가스 / Gaseu,气体 / Qìtǐ
Railway,Chemin de fer,Eisenbahn,Spoorweg,Ferrocarril,,철도 / Cheoldo,铁路 / Tiělù
Expression,Expression,Ausdruck,Uitdrukking,Expresión,,표현 / Pyohyeon,表达 / Biǎodá
Advantage,Avantage,Vorteil,Voordeel,Ventaja,Avantèdjî,이점 / Ijeom,优势 / Yōushì
Gold,Or,Gold,Goud,Oro,Ôr,금 / Geum,金子 / Jīnzi
Wood,Bois,Holz,Hout,Madera,Bwès,목재 / Mogjae,木头 / Mùtou
Network,Réseau,Netzwerk,Netwerk,Red,,회로망 / Hoelomang,网络 / Wǎngluò
Text,Texte,Text,Tekst,Texto,,텍스트 / Tegseuteu,文本 / Wénběn
Forest,Forêt,Wald,Woud,Bosque,Bwès,숲 / Sup,森林 / Sēnlín
Sister,Sœur,Schwester,Zus,Hermana,Soûr,자매 / Jamae,姐姐 / Jiějiě
Chair,Chaise,Stuhl,Stoel,Silla,,의자 / Uija,椅子 / Yǐzi
Cause,Cause,Weil,Oorzaak,Causa,Djåzer,원인 / Won-in,原因 / Yuányīn
Foot,Pied,Fuß,Voet,Pie,Pî,발 / Bal,脚丫子 / Jiǎoyāzi
Rise,Monter,Erhebt euch,Opstaan,Subir,,증가 / Jeung-ga,上升 / Shàngshēng
Half,Moitié,Halb,Voor de helft,Medio,Mitan,반 / Ban,一半 / Yībàn
Winter,Hiver,Winter,Winter,Invierno,Iviér,겨울 / Gyeoul,冬天 / Dōngtiān
Corner,Coin,Ecke,Hoek,Esquina,,모서리 / Moseoli,角落 / Jiǎoluò
Insurance,Assurance,Versicherung,Verzekering,Seguro,,보험 / Boheom,保险 / Bǎoxiǎn
Step,Étape,Schritt,Stap,Paso,,단계 / Dangye,步 / Bù
Damage,Dégâts,Schaden,Schade,Daño,Abîmer,피해를 주다 / Pihaeleul juda,损害 / Sǔnhài
Credit,Crédit,Anerkennung,Credit,Crédito,,신용 거래 / Sin-yong geolae,信用 / Xìnyòng
Pain,Douleur,Schmerz,Pijn,Dolor,Doleûr,통증 / Tongjeung,痛 / Tòng
Possibility,Possibilité,Wahrscheinlichkeit,Mogelijkheid,Posibilidad,,가능성 / Ganeungseong,可能性 / Kěnéng xìng
Legislation,Législation,Gesetzgebung,Wetgeving,Legislación,,법률 제정 / Beoblyul jejeong,立法 / Lìfǎ
Strength,Force,Stärke,Kracht,Fuerza,Fwèce,힘 / Him,力量 / Lìliàng
Speed,Vitesse,Geschwindigkeit,Snelheid,Velocidad,Vitèsse,속도 / Sogdo,速度 / Sùdù
Crime,Criminalité,Verbrechen,Misdaad,Delito,Crime,범죄 / Beomjoe,犯罪 / Fànzuì
Hill,Colline,Hügel,Heuvel,Colina,Gridjète,언덕 / Eondeog,爬坡道 / Pá pō dào
Debate,Débat,Debatte,Debat,Debate,,토론 / Tolon,辩论 / Biànlùn
Will,Sera,Wille,Zullen,Será,,~ 할 것이다 / ~ hal geos-ida,将要 / Jiāngyào
Supply,Fourniture,Liefern,Leveren,Suministro,,공급 / Gong-geub,供应 / Gōngyìng
Present,Cadeau,Geschenk,Cadeau,Presente,,선물 / Seonmul,展示 / Zhǎnshì
Confidence,Confiance,Vertrauen,Vertrouwen,Confianza,Fwè,신뢰 / Sinloe,信心 / Xìnxīn
Patient,Patient,Geduldig,Geduldig,Paciente,,인내심 있는 / Innaesim issneun,病人 / Bìngrén
Wind,Vent,Wind,Wind,Viento,Vint,바람 / Balam,风 / Fēng
Solution,Solution,Lösung,Oplossing,Solución,,해결책 / Haegyeolchaeg,解决方案 / Jiějué fāng'àn
Band,Bande,Band,Band,Banda,,밴드 / Baendeu,乐队 / Yuèduì
Museum,Musée,Museum,Museum,Museo,Mûzéye,박물관 / Bagmulgwan,博物馆 / Bówùguǎn
Farm,Ferme,Bauernhof,Boerderij,Granja,Fèrme,농장 / Nongjang,农场 / Nóngchǎng
Pound,Broyer,Pfund,Pond,Libra,,파운드 / Paundeu,磅 / Bàng
Match,Correspondre,Spiel,Wedstrijd,Partido,,성냥 / Seongnyang,匹配 / Pǐpèi
Assessment,Évaluation,Bewertung,Beoordeling,Evaluación,,평가 / Pyeong-ga,评估 / Pínggū
Message,Message,Botschaft,Bericht,Mensaje,Mèssèdje,메시지 / Mesiji,信息 / Xìnxī
Football,Football,Fußball,Amerikaans voetbal,Fútbol americano,,축구 / Chuggu,足球 / Zúqiú
No,Non,Nein,Nee,No,,아니요 / Aniyo,不 / Bù
Animal,Animal,Tier,Dier,Animal,Bièsse,동물 / Dongmul,动物 / Dòngwù
Skin,Peau,Haut,Huid,Piel,Pê,피부 / Pibu,皮肤 / Pífū
Scene,Scène,Szene,Tafereel,Escena,Sinne,장면 / Jangmyeon,场景 / Chǎngjǐng
Article,Article,Artikel,Artikel,Artículo,Årtike,기사 / Gisa,文章 / Wénzhāng
Stuff,Truc,Sachen,Spullen,Cosa,,물건 / Mulgeon,东西 / Dōngxī
Introduction,Introduction,Einleitung,Invoering,Introducción,,소개 / Sogae,介绍 / Jièshào
Play,Joue,Abspielen,Speel,Jugar,Djouwer,플레이 / Peullei,玩 / Wán
Administration,Administration,Verwaltung,Administratie,Administración,,관리 / Gwanli,行政 / Xíngzhèng
Fear,Crainte,Furcht,Angst,Miedo,,두려움 / Dulyeoum,恐惧 / Kǒngjù
Dad,Père,Vati,Pa,Padre,Papa,아빠 / Appa,爸爸 / Bàba
Proportion,Proportion,Anteil,Proportie,Proporción,,비율 / Biyul,部分 / Bùfèn
Island,Île,Insel,Eiland,Isla,,섬 / Seom,岛 / Dǎo
Contact,Contactez,Kontakt,Contact,Contacto,,연락하다 / Yeonlaghada,接触 / Jiēchù
Japan,Japon,Japan,Japan,Japón,,일본 / Ilbon,日本 / Rìběn
Claim,Réclamation,Anspruch,Claim,Afirmar,,주장하다 / Jujanghada,宣称 / Xuānchēng
Kingdom,Royaume,Königreich,Koninkrijk,Reino,,왕국 / Wang-gug,王国 / Wángguó
Video,Vidéo,Video,Video-,Video,,동영상 / Dong-yeongsang,视频 / Shìpín
Tv,Télé,Fernseher,TV,Televisión,Télévûzion,TV / Tv,电视 / Diànshì
Existence,Existence,Existenz,Bestaan,Existencia,Vikèdje,존재 / Jonjae,存在 / Cúnzài
Telephone,Téléphone,Telefon,Telefoon,Teléfono,Tèlèphoner,전화 / Jeonhwa,电话 / Diànhuà
Move,Mouvement,Bewegung,Actie,Moverse,Mouwer,이동하다 / Idonghada,移动 / Yídòng
Traffic,Circulation,Verkehr,Verkeer,Tráfico,,교통 / Gyotong,交通 / Jiāotōng
Distance,Distance,Distanz,Afstand,Distancia,Trote,거리 / Geoli,距离 / Jùlí
Relief,Soulagement,Erleichterung,Opluchting,Alivio,,안도 / Ando,宽慰 / Kuānwèi
Cabinet,Cabinet,Kabinett,Kastje,Gabinete,Årmå,내각 / Naegag,内阁 / Nèigé
Unemployment,Chômage,Arbeitslosigkeit,Werkloosheid,Desempleo,,실업 / Sil-eob,失业 / Shīyè
Reality,Réalité,Wirklichkeit,Realiteit,La realidad,,현실 / Hyeonsil,现实 / Xiànshí
Target,Cibler,Ziel,Doel,Objetivo,Dèssin,표적 / Pyojeog,目标 / Mùbiāo
Trial,Essai,Studie,Proces,Ensayo,,재판 / Jaepan,审判 / Shěnpàn
Rock,Rocher,Felsen,Steen,Rock,Halcoter,바위 / Bawi,岩石 / Yánshí
Concept,Concept,Konzept,Concept,Concepto,,개념 / Gaenyeom,概念 / Gàiniàn
Spirit,Esprit,Geist,Geest,Espíritu,Spér,영혼 / Yeonghon,精神 / Jīngshén
Accident,Accident,Unfall,Ongeluk,Accidente,Acsidint,사고 / Sago,事故 / Shìgù
Organization,Organisme,Organisation,Organisatie,Organización,,조직 / Jojig,组织 / Zǔzhī
Construction,Construction,Konstruktion,Bouw,Construcción,,건설 / Geonseol,建造 / Jiànzào
Coffee,Café,Kaffee,Koffie,Café,Cafè,커피 / Keopi,咖啡 / Kāfēi
Phone,Téléphoner,Telefon,Telefoon,Teléfono,,핸드폰 / Haendeupon,电话 / Diànhuà
Distribution,Distribution,Verteilung,Verdeling,Distribución,,분포 / Bunpo,分配 / Fēnpèi
Train,Train,Zug,Trein,Tren,,기차 / Gicha,火车 / Huǒchē
Sight,Vue,Sicht,Zicht,Visión,Alèdje,시력 / Silyeog,视线 / Shìxiàn
Difficulty,Difficulté,Schwierigkeit,Moeilijkheid,Dificultad,Difigulté,어려움 / Eolyeoum,困难 / Kùnnán
Factor,Facteur,Faktor,Factor,Factor,,요인 / Yoin,因素 / Yīnsù
Exercise,Exercer,Die übung,Oefening,Ejercicio,,연습 / Yeonseub,锻炼 / Duànliàn
Weekend,Week-end,Wochenende,Weekend,Fin de semana,,주말 / Jumal,周末 / Zhōumò
Battle,Bataille,Schlacht,Strijd,Batalla,Bate,전투 / Jeontu,战斗 / Zhàndòu
Prison,Prison,Gefängnis,Gevangenis,Prisión,Prîhon,감옥 / Gam-og,监狱 / Jiānyù
Grant,Accorder,Gewähren,Studiebeurs,Conceder,,승인하다 / Seung-inhada,授予 / Shòuyǔ
Aircraft,Avion,Flugzeug,Vliegtuigen,Aeronave,,항공기 / Hang-gong-gi,飞机 / Fēijī
Tree,Arbre,Baum,Boom,Árbol,Åbe,나무 / Namu,树 / Shù
Bridge,Pont,Brücke,Brug,Puente,Pont,다리 / Dali,桥 / Qiáo
Strategy,Stratégie,Strategie,Strategie,Estrategia,,전략 / Jeonlyag,战略 / Zhànlüè
Contrast,Contraste,Kontrast,Contrast,Contraste,Contrasse,차이 / Chai,对比 / Duìbǐ
Communication,Communication,Kommunikation,Communicatie,Comunicación,,의사소통 / Uisasotong,沟通 / Gōutōng
Background,Contexte,Hintergrund,Achtergrond,Fondo,,배경 / Baegyeong,背景 / Bèijǐng
Shape,Façonner,Gestalten,Vorm,Forma,,모양 / Moyang,形状 / Xíngzhuàng
Wine,Vin,Wein,Wijn,Vino,Vin,와인 / Wain,葡萄酒 / Pútáojiǔ
Star,Étoile,Stern,Ster,Estrella,,별 / Byeol,星星 / Xīngxīng
Hope,Espoir,Hoffnung,Hoop,Esperar,,희망 / Huimang,希望 / Xīwàng
Selection,Sélection,Auswahl,Selectie,Selección,Chwès,선택 / Seontaeg,选择 / Xuǎnzé
Detail,Détail,Detail,Detail-,Detalle,,세부 사항 / Sebu sahang,细节 / Xìjié
User,Utilisateur,Benutzer,Gebruiker,Usuario,,사용자 / Sayongja,用户 / Yònghù
Path,Chemin,Weg,Pad,Sendero,Vôye,길 / Gil,小路 / Xiǎo lù
Client,Client,Klient,Cliënt,Cliente,,고객 / Gogaeg,客户 / Kèhù
Search,Chercher,Suche,Zoekopdracht,Búsqueda,,검색 / Geomsaeg,搜索 / Sōusuǒ
Master,Maître,Meister,Meester,Maestría,Aprinde,주인 / Ju-in,掌握 / Zhǎngwò
Rain,Pluie,Regen,Regen,Lluvia,Plêve,비 / Bi,雨 / Yǔ
Offer,Offre,Angebot,Bieden,Oferta,,권하다 / Gwonhada,提供 / Tígōng
Goal,But,Tor,Doel,Meta,Dèssin,목표 / Mogpyo,目标 / Mùbiāo
Dinner,Dîner,Abendessen,Avondeten,Cena,Dîner,저녁 / Jeonyeog,晚餐 / Wǎncān
Freedom,Liberté,Freiheit,Vrijheid,Libertad,Lîbèrté,자유 / Jayu,自由 / Zìyóu
Attitude,Attitude,Attitüde,Houding,Actitud,,태도 / Taedo,态度 / Tàidù
While,Pendant que,Während,Terwijl,Mientras,Tot fant qui,동안 / Dong-an,尽管 / Jǐnguǎn
